Liste,Section,Genre,Nom,Position,Tete de liste
ALIANS MATINIK,Centre,f,Josette MANIN,1,0
ALIANS MATINIK,Centre,m,Félix MERINE,2,0
ALIANS MATINIK,Centre,f,Patricia TELLE,3,0
ALIANS MATINIK,Centre,m,David ZOBDA,4,0
ALIANS MATINIK,Centre,f,Audrey THALY-BARDOL,5,0
ALIANS MATINIK,Centre,m,Fred CLIO,6,0
ALIANS MATINIK,Centre,f,Monette TAUREL,7,0
ALIANS MATINIK,Centre,m,Olivier MARIE-REINE,8,0
ALIANS MATINIK,Centre,f,Yannick ETIENNE-NOTTE,9,0
ALIANS MATINIK,Centre,m,Georges-Henri LAGIER,10,0
ALIANS MATINIK,Centre,f,Sylvie AJOUP-GUSTO,11,0
ALIANS MATINIK,Centre,m,Thierry FONDELOT,12,0
ALIANS MATINIK,Centre,f,Rostita CAVALIER,13,0
ALIANS MATINIK,Centre,m,Charles PIDERI,14,0
ALIANS MATINIK,Centre,f,Nicaise EUGENIE,15,0
ALIANS MATINIK,Centre,m,Alexandre SIVAGER,16,0
ALIANS MATINIK,Centre,f,Hermine VILLARSIN,17,0
ALIANS MATINIK,Fort-de-France,m,Serge LETCHIMY,1,1
ALIANS MATINIK,Fort-de-France,f,Bénédicte DI GERONIMO,2,0
ALIANS MATINIK,Fort-de-France,m,Didier LAGUERRE,3,0
ALIANS MATINIK,Fort-de-France,f,Michelle MONROSE,4,0
ALIANS MATINIK,Fort-de-France,m,Jean-Claude DUVERGER,5,0
ALIANS MATINIK,Fort-de-France,f,Sandra CASANOVA,6,0
ALIANS MATINIK,Fort-de-France,m,Alexandre VENTADOUR,7,0
ALIANS MATINIK,Fort-de-France,f,Marie-Ange RAVIN,8,0
ALIANS MATINIK,Fort-de-France,m,Charles CHAMMAS,9,0
ALIANS MATINIK,Fort-de-France,f,Valérie VERTALE LORIOT,10,0
ALIANS MATINIK,Fort-de-France,m,Manuel GHUNAIM,11,0
ALIANS MATINIK,Fort-de-France,f,Audrey ALEINS,12,0
ALIANS MATINIK,Fort-de-France,m,José BLEZES,13,0
ALIANS MATINIK,Fort-de-France,f,Sabrina JOACHIM MIRVILLE,14,0
ALIANS MATINIK,Fort-de-France,m,Charles-Henri MICHAUX,15,0
ALIANS MATINIK,Nord,m,Bruno Nestor AZEROT,1,0
ALIANS MATINIK,Nord,f,Jenny DULYS-PETIT,2,0
ALIANS MATINIK,Nord,m,Jean-Claude ECANVIL,3,0
