,region_code,region_name,geo_code,geo_name,board_number,list_code,list_name,political_color,lead,position,gender,surname,name,birth_surname,birth_name,birthday,occupation,age
17387,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,1,F,MANIN,Josette,MANIN,Josette,1950-03-16,Ancien cadre,71.19
17388,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,2,M,MERINE,Félix,MERINE,Félix,1962-08-27,Chef d'entreprise de 10 salariés ou plus,58.74
17389,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,3,F,TELLE,Patricia,ZAMON,Patricia,1959-12-12,Profession intermédiaire de la santé et du travail social,61.45
17390,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,4,M,ZOBDA,David,ZOBDA,David,1959-01-05,Cadre administratif et commercial d'entreprise,62.38
17391,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,5,F,THALY-BARDOL,Audrey,THALY,Audrey,1978-02-22,Cadre administratif et commercial d'entreprise,43.25
17392,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,6,M,CLIO,Fred,CLIO,Fred,1961-08-07,"Professeur, profession scientifique",59.79
17393,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,7,F,TAUREL,Monette,TAUREL,Eléonore,1966-01-01,Agriculteur sur petite exploitation,55.39
17394,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,8,M,MARIE-REINE,Olivier,MARIE-REINE,Olivier,1968-06-15,Artisan,52.94
17395,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,9,F,ETIENNE-NOTTE,Yannick,ETIENNE-NOTTE,Yannick,1970-01-24,Employé civil et agent de service de la fonction publique,51.33
17396,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,10,M,LAGIER,Georges-Henri,LAGIER,Georges-Henri,1958-01-26,Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité),63.32
17397,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,11,F,AJOUP-GUSTO,Sylvie,AJOUP,Sylvie,1963-05-17,Cadre de la fonction publique,58.02
17398,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,12,M,FONDELOT,Thierry,FONDELOT,Thierry,1970-06-19,Employé civil et agent de service de la fonction publique,50.93
17399,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,13,F,CAVALIER,Rostita,CAVALIER,Rostita,1974-09-10,Employé civil et agent de service de la fonction publique,46.7
17400,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,14,M,PIDERI,Charles,PIDERI,Macaire,1954-02-01,Agriculteur sur moyenne exploitation,67.31
17401,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,15,F,EUGENIE,Nicaise,EUGENIE,Nicaise,1948-02-25,Ancien cadre,73.24
17402,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,16,M,SIVAGER,Alexandre,SIVAGER,Alexandre,1995-05-05,Chef d'entreprise de 10 salariés ou plus,26.05
17403,2,Martinique,ZB1, Centre,1,5,ALIANS MATINIK,LDVG,Non,17,F,VILLARSIN,Hermine,VILLARSIN,Hermine,1959-11-15,Employé administratif d'entreprise,61.52
17404,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,1,M,AZEROT,Bruno Nestor,AZEROT,Bruno,1961-07-22,Commerçant et assimilé,59.84
17405,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,2,F,DULYS-PETIT,Jenny,DULYS,Jenny,1953-01-15,Ancien cadre,68.35
17406,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,3,M,ECANVIL,Jean-Claude,ECANVIL,Bruno,1952-06-10,Ancien cadre,68.95
17407,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,4,F,LARGEN-MARINE,Yolène,MARINE,Denise,1958-09-30,Profession libérale,62.65
17408,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,5,M,ISMAIN,Félix,ISMAIN,Félix,1952-02-20,Ancien cadre,69.26
17409,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,6,F,CASIMIRIUS,Marie Thérèse,CASIMIRIUS,Marie,1954-05-29,Ancien cadre,66.99
17410,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,7,M,SALIBER,Lucien,SALIBER,Lucien,1951-10-24,Ancien cadre,69.58
17411,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,8,F,TERMON,Séverine,TERMON,Séverine,1983-12-05,Profession libérale,37.47
17412,2,Martinique,ZB2, Nord,1,5,ALIANS MATINIK,LDVG,Non,9,M,DUFEAL,Eric,DUFEAL,Eric,1965-10-23,Cadre de la fonction publique,55.58
